My Prev,Incoming Shot,Incoming Direction,Opponent Previous,Outgoing Direction,Outgoing Shot,Point Winner,Rally,Serving,Serve,Second Prev,Opponent_2nd,Prev Shot,Surface
6,forehand groundstoke,left,3,right,backhand volley,1,6.0,yes,down the t,2,1,forehand groundstoke,Grass
1,backhand groundstroke,right,1,right,forehand groundstoke,1,8.0,yes,out wide,2,3,forehand groundstoke,Grass
2,backhand groundstroke,middle,1,middle,forehand groundstoke,0,3.0,yes,down the t,1,2,down the t,Grass
6,backhand slice,left,1,left,backhand volley,1,3.0,yes,out wide,1,6,out wide,Grass
3,forehand groundstoke,left,3,middle,backhand slice,1,8.0,yes,down the t,2,2,forehand groundstoke,Grass
2,forehand groundstoke,middle,1,right,forehand groundstoke,0,3.0,yes,out wide,1,2,out wide,Grass
3,forehand groundstoke,left,2,left,backhand groundstroke,1,10.0,yes,down the t,3,2,backhand slice,Grass
3,backhand groundstroke,left,2,middle,backhand lob,0,5.0,yes,out wide,3,1,backhand groundstroke,Grass
5,backhand groundstroke,middle,1,left,forehand volley,1,6.0,yes,down the t,3,1,backhand groundstroke,Grass
3,forehand groundstoke,left,1,right,backhand groundstroke,0,3.0,yes,out wide,1,3,out wide,Grass
